blockNumber,timestamp,transactionHash,tokenAddress,From,to,fromIsContract,toIsContract,value
3000003,1484475096,0x0f947b10c5d20d2d9c33a5f1aba37d75cd2690b15a727b08d55e0bbca3bad225,0xedbaf3c5100302dcdda53269322f3730b1f0416d,0x01345fbb01a0bda38ad5c92a7454d917db84ac24,0xcf62dfc079c5d594c257c8fcc0bc2334d17595e1,0,0,1000000
3000003,1484475096,0xbba6a4ca0ee856f6d0cab991e60fcade2db2b5745b6afee321b899dd37eedd80,0xa74476443119a942de498590fe1f2454d7d4ac0d,0x5e575279bf9f4acf0a130c186861454247394c06,0x2730826691bb0e970ef1608d5a3b944c29db7ed5,0,0,1.26373816523E+022
3000011,1484475182,0xd37cb06b4eab92cd27cd6b3c9f9f535ad6a3c54349896b6b4c7b278e47161113,0xa74476443119a942de498590fe1f2454d7d4ac0d,0xa7fc01ff59f917db3d77b07ad24bacfcd1943cff,0xd1462fe07c99fcf0118d0b745e6f1c252dec313c,0,0,2.137E+023
3000020,1484475316,0xb367dcddb2a74e72d5fe76320fedbc52576d035d4e7a31a0d5f5a2c99c7bc304,0xedbaf3c5100302dcdda53269322f3730b1f0416d,0x01345fbb01a0bda38ad5c92a7454d917db84ac24,0xcf62dfc079c5d594c257c8fcc0bc2334d17595e1,0,0,10000000
3000034,1484475482,0x1dc560ab33d90a9e524f298c151199dd61ada13161a510b9250be182c842219a,0xa74476443119a942de498590fe1f2454d7d4ac0d,0xd1462fe07c99fcf0118d0b745e6f1c252dec313c,0x5e575279bf9f4acf0a130c186861454247394c06,0,0,2.137E+023
3000044,1484475605,0x7ab57295eadaa80bca7ea3df2bc83541d58119e7ce953a482b3829ae3ce3da5c,0xedbaf3c5100302dcdda53269322f3730b1f0416d,0xcf62dfc079c5d594c257c8fcc0bc2334d17595e1,0xf297b0561c201c3a9ef86d237354dea9322f6cd4,0,0,5426035224
3000044,1484475605,0x6971acb175f634e24870b03be4a59214312921273ed6945f714909034aee3f6b,0xedbaf3c5100302dcdda53269322f3730b1f0416d,0xcf62dfc079c5d594c257c8fcc0bc2334d17595e1,0xf297b0561c201c3a9ef86d237354dea9322f6cd4,0,0,5426035224
3000079,1484476094,0x4799f529e0f8769b0cc970cf13c7ec8eec2fda8cbe7049fff11751b744bfc9f0,0x57d90b64a1a57749b0f932f1a3395792e12e7055,0xe87b8dc7ebfbfadc4a417fbb866ae6c94148beb4,0x4c7935f8ddc5e3c86da57a292167efc98dd27c05,0,0,10030000
3000090,1484476330,0xb4edb7c12ddc8a65a618625889c97b25d36e0f9ccc489391e124b9a1f31825da,0xa74476443119a942de498590fe1f2454d7d4ac0d,0x5e575279bf9f4acf0a130c186861454247394c06,0xa7fc01ff59f917db3d77b07ad24bacfcd1943cff,0,0,1.0109434315832E+023
3000096,1484476426,0x586dc7149b5e6a84f8131be242ecc8cf141bb71cc1bd434b33ebb823944c9597,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x8636fcda01d95f876ff3dc07a189b8f54e284968,0,0,54434888970
3000102,1484476523,0x229cfd9dbe45fa1801834e8ba23fd557c9c050e3c303e5bcb0bd97050faea05d,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,0xbfe5cb0de9f980b52cd0733b555cecc88b7a79f6,0xbf4ed7b27f1d666546e30d74d50d173d20bca754,0,1,1E+021
3000115,1484476692,0x249574b684f5fe156fa87d5b1d32f6f09dd8aaefc992de6eae9f7bd191f9f154,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,0x8636fcda01d95f876ff3dc07a189b8f54e284968,0xa70e86ec1276fd17f64166efb7ad69dc0260281c,0,0,54434888970
3000121,1484476805,0x856a0b230ed5972c53f21f045a02572f35d951de7ad73b900d4cbb2cfe66da46,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7,0xd9bd20efca7b0e6606b969548b1516c08d37374b,0xa7fc01ff59f917db3d77b07ad24bacfcd1943cff,0,0,2.374283721824E+022
3000129,1484476977,0xfb1c9c99b73f3c191043f1128fe3faf6847b820ea3cdb9bda142e8e6079c6899,0xecf8f87f810ecf450940c9f60066b4a7a501d6a7,0xce7f06ba27b3e525ccdfc559cea9e523e5f91eae,0x1292714f89f535c066d483e92a54b360f3df7589,0,1,1.44E+020
3000135,1484477043,0x9fca318596c6a4d5edf060b902b395ba2fe9b778a7740fdbcacf29ddbee8a834,0x57d90b64a1a57749b0f932f1a3395792e12e7055,0x4dcde2aabac8ee65c699a02d94fab57aad8c2f5d,0xa06e9fbb5ef3330a11e613348e57b86d99b96a94,0,0,1030000
3000136,1484477057,0x6f087c1791f16d5597e91c4449abcc54ffd123b7b752df2a6ff0282fcb138ac5,0x5c543e7ae0a1104f78406c340e9c64fd9fce5170,0xa4c3ba3ac5de72032462f50f208a771ccddc59aa,0xa2f77ffb260968e551f16d50463910537086b153,0,0,2.448E+021
3000139,1484477134,0x6196db1e09dbe1d752913ccf12c11467b770dc0af2dcd21390c5fe3b225add9f,0xecf8f87f810ecf450940c9f60066b4a7a501d6a7,0x44e4af6e605921fed70f760d802b65444f1f5377,0x1292714f89f535c066d483e92a54b360f3df7589,0,1,4.08E+019
3000159,1484477355,0x4c924f8937f9d0ac2ab8d6dc06f644a4be9085aa835bdd7097161fd7a5f80726,0xecf8f87f810ecf450940c9f60066b4a7a501d6a7,0x44e4af6e605921fed70f760d802b65444f1f5377,0x1292714f89f535c066d483e92a54b360f3df7589,0,1,2.74E+019
3000165,1484477399,0x0ab5eec7b73e7b6e76c7d4d1b0c5acb237e6192c2077eb826b7f136ccc84677d,0x5c543e7ae0a1104f78406c340e9c64fd9fce5170,0xa2f77ffb260968e551f16d50463910537086b153,0xe17af102ba3c45301cca05953892e2ed357486e6,0,0,2.448E+021
